"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","BDS_modality","subject","key_press","designation","span","answer","correct","was_correct","spanHistory","max_span","total_correct","value"
"null","digits/nine.wav","","audio-keyboard-response","91","889193","0.0-0.0-1.10-0.10-1.59-0.59","auditory","A02F6F","null","","","","","","","","",""
"null","digits/six.wav","","audio-keyboard-response","92","890237","0.0-0.0-1.10-0.10-1.60-0.60","auditory","A02F6F","null","","","","","","","","",""
"null","digits/three.wav","","audio-keyboard-response","93","891241","0.0-0.0-1.10-0.10-1.61-0.61","auditory","A02F6F","null","","","","","","","","",""
"null","digits/five.wav","","audio-keyboard-response","94","892275","0.0-0.0-1.10-0.10-1.62-0.62","auditory","A02F6F","null","","","","","","","","",""
"null","digits/eight.wav","","audio-keyboard-response","95","893150","0.0-0.0-1.10-0.10-1.63-0.63","auditory","A02F6F","null","","","","","","","","",""
"null","digits/four.wav","","audio-keyboard-response","96","894163","0.0-0.0-1.10-0.10-1.64-0.64","auditory","A02F6F","null","","","","","","","","",""
"null","digits/one.wav","","audio-keyboard-response","97","895283","0.0-0.0-1.10-0.10-1.65-0.65","auditory","A02F6F","null","","","","","","","","",""
"44981","<div class = numbox><p>Wie lauteten die Zahlen <b>in umgekehrter Reihenfolge</b>?<br> Antwort mit Enter-Taste best&auml;tigen.</p><button id = button_1 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>1</div></div></button><button id = button_2 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>2</div></div></button><button id = button_3 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>3</div></div></button><button id = button_4 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>4</div></div></button><button id = button_5 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>5</div></div></button><button id = button_6 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>6</div></div></button><button id = button_7 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>7</div></div></button><button id = button_8 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>8</div></div></button><button id = button_9 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>9</div></div></button><button class = clear_button id = ""ClearButton"" onclick = ""clearResponse()"">L&ouml;schen</button><p><u><b>Ihre Antwort:</b></u></p><div id=echoed_txt style=""font-size: 30px; color:blue;""><b></b></div></div>","","html-keyboard-response","98","940517","0.0-0.0-1.10-0.10-2.10","auditory","A02F6F","13","BDS-RESPONSE","8","1,4,5,7,3,6,9,2","1,4,8,5,3,6,9,2","0","3,4,5,6,7,7,6,6,7,7,8,8","7","6",""
"","","","call-function","99","940517","0.0-0.0-1.10-0.10-3.10","auditory","A02F6F","","","","","","","","","",""
"1260","<p>Test 12 von 12</p>","0","html-button-response","100","941777","0.0-0.0-1.11-0.11-0.11","auditory","A02F6F","","","","","","","","","",""
"null","digits/six.wav","","audio-keyboard-response","101","943070","0.0-0.0-1.11-0.11-1.66-0.66","auditory","A02F6F","null","","","","","","","","",""
"null","digits/seven.wav","","audio-keyboard-response","102","944136","0.0-0.0-1.11-0.11-1.67-0.67","auditory","A02F6F","null","","","","","","","","",""
"null","digits/eight.wav","","audio-keyboard-response","103","945011","0.0-0.0-1.11-0.11-1.68-0.68","auditory","A02F6F","null","","","","","","","","",""
"null","digits/two.wav","","audio-keyboard-response","104","946056","0.0-0.0-1.11-0.11-1.69-0.69","auditory","A02F6F","null","","","","","","","","",""
"null","digits/three.wav","","audio-keyboard-response","105","947059","0.0-0.0-1.11-0.11-1.70-0.70","auditory","A02F6F","null","","","","","","","","",""
"null","digits/nine.wav","","audio-keyboard-response","106","947987","0.0-0.0-1.11-0.11-1.71-0.71","auditory","A02F6F","null","","","","","","","","",""
"null","digits/four.wav","","audio-keyboard-response","107","949000","0.0-0.0-1.11-0.11-1.72-0.72","auditory","A02F6F","null","","","","","","","","",""
"null","digits/one.wav","","audio-keyboard-response","108","950120","0.0-0.0-1.11-0.11-1.73-0.73","auditory","A02F6F","null","","","","","","","","",""
"45068","<div class = numbox><p>Wie lauteten die Zahlen <b>in umgekehrter Reihenfolge</b>?<br> Antwort mit Enter-Taste best&auml;tigen.</p><button id = button_1 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>1</div></div></button><button id = button_2 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>2</div></div></button><button id = button_3 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>3</div></div></button><button id = button_4 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>4</div></div></button><button id = button_5 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>5</div></div></button><button id = button_6 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>6</div></div></button><button id = button_7 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>7</div></div></button><button id = button_8 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>8</div></div></button><button id = button_9 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>9</div></div></button><button class = clear_button id = ""ClearButton"" onclick = ""clearResponse()"">L&ouml;schen</button><p><u><b>Ihre Antwort:</b></u></p><div id=echoed_txt style=""font-size: 30px; color:blue;""><b></b></div></div>","","html-keyboard-response","109","995439","0.0-0.0-1.11-0.11-2.11","auditory","A02F6F","13","BDS-RESPONSE","8","1,9,3,2,8,7,6","1,4,9,3,2,8,7,6","0","3,4,5,6,7,7,6,6,7,7,8,8","7","6",""
"","","","call-function","110","995440","0.0-0.0-1.11-0.11-3.11","auditory","A02F6F","","","","","","","","","",""
"100940","<p>Die Aufgabe ist erledigt! Vielen Dank!</p><p>Die Gesamtzahl Ihrer korrekten Antworten ist <b>6</b>.</p>","0","html-button-response","111","1096393","0.0-1.0","auditory","A02F6F","","","","","","","","","",""
